,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,0.625,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,(+/-)
86,Rudy Gobert,UTA,26,44,23,21,31.4,14.7,5.5,8.5,65.1,0,0,0,3.7,5.8,63.5,3.6,8.9,12.5,2.1,1.5,0.9,2,2.8,40.2,35,0,3.8
87,Collin Sexton,CLE,20,43,8,35,29.6,14.6,5.6,13.6,41.5,0.8,2.2,38.7,2.5,2.8,88.4,0.6,2.3,3,2.8,2.3,0.5,0.1,2.6,21.8,1,0,-9.7
88,Enes Kanter,NYK,26,41,10,31,26.5,14.4,5.9,10.8,54.3,0.2,0.5,35,2.5,3.1,81.7,4,6.9,11,2,1.9,0.4,0.4,2.6,31.3,25,0,-4.9
89,Emmanuel Mudiay,NYK,22,35,9,26,26.6,14.3,5.5,12.2,44.6,1.1,3.4,31.9,2.3,3.2,73.9,0.6,2.3,2.9,4.1,1.9,0.8,0.4,1.8,25.6,0,0,-4.3
90,Kyle Lowry,TOR,32,33,25,8,33.6,14.1,4.8,11.2,43.1,2.1,6.5,32.6,2.3,2.8,83.7,0.4,3.8,4.3,9.6,2.7,1.5,0.5,2.3,36.8,12,1,8.7
91,Kent Bazemore,ATL,29,35,11,24,27.4,14,5.1,11.5,44.1,1.5,4.7,32.7,2.3,3.1,75.2,0.6,3.4,4,2.6,2.1,1.7,0.9,2.7,28.5,0,0,-5.7
92,Dwyane Wade,MIA,36,32,17,15,25.4,13.9,5.1,12.2,41.9,1.3,3.9,33.3,2.4,3.5,67.9,0.8,2.6,3.5,3.9,2.1,0.7,0.6,1.6,25.5,1,0,-0.8
93,Willie Cauley-Stein,SAC,25,43,22,21,28.6,13.6,5.9,11.2,52.6,0,0,100,1.8,3.4,53.1,2.4,6.6,8.9,2.7,1.3,1.2,0.7,3,32.6,17,0,1.6
94,Rudy Gay,SAS,32,35,21,14,26.7,13.6,5.4,10.6,51.1,1.1,2.7,41.5,1.6,1.9,84.8,1,5.6,6.6,2.4,1.5,0.9,0.6,2.6,28,5,0,2.4
94,Terrence Ross,ORL,27,42,18,24,25.8,13.6,5.1,11.8,43.1,2.3,5.8,39.1,1.2,1.4,84.5,0.3,2.8,3.1,1.5,1.1,0.9,0.4,1.8,22.2,0,0,-3.7
96,Wesley Matthews,DAL,32,36,16,20,30.2,13.4,4.5,10.8,41.9,2.3,5.8,38.6,2.2,2.7,80.6,0.5,1.9,2.4,2.4,1.3,0.8,0.2,2.4,21.6,0,0,-1.1
97,Carmelo Anthony,HOU,34,10,4,6,29.4,13.4,4.9,12.1,40.5,2.1,6.4,32.8,1.5,2.2,68.2,0.9,4.5,5.4,0.5,0.8,0.4,0.7,3.2,23.1,0,0,-6.3
98,Jaren Jackson Jr.,MEM,19,42,19,23,25.5,13.4,5.1,9.7,52.6,0.8,2.5,34,2.3,3,78.2,1.1,3.5,4.6,1.2,1.6,1,1.5,3.8,26.7,2,0,-0.5
99,Joe Harris,BKN,27,40,21,19,29.4,13.4,4.9,9.6,50.6,2.4,5,48.3,1.2,1.4,83.9,0.8,2.9,3.6,2.4,1.5,0.6,0.2,2.9,21.9,0,0,-0.3
100,Robert Covington,MIN,28,35,20,15,34.4,13.3,4.5,10.3,43.1,2.4,6.4,37.8,1.9,2.5,76.4,0.8,4.7,5.5,1.3,1.3,2.1,1.3,3.6,30.9,2,0,1.8
101,Kris Dunn,CHI,24,17,4,13,30.4,13.2,5.6,12,47.1,0.5,1.5,34.6,1.4,1.8,77.4,0.1,4.4,4.5,6.8,2.4,1.5,0.3,4,31.8,1,0,-6.6
102,Will Barton,DEN,28,3,2,1,23.3,13,4.7,10.3,45.2,2,4,50,1.7,2,83.3,0.3,4.7,5,3,1.3,0.3,0.7,2.3,25.2,0,0,5.3
103,Kelly Oubre Jr.,PHX,23,42,15,27,25.9,13,4.6,10.5,43.9,1.5,4.4,32.8,2.3,2.9,79.5,0.7,3.5,4.2,0.9,1.2,0.9,0.8,2.4,23.1,1,0,-3.7
104,Myles Turner,IND,22,37,26,11,27.9,12.9,5.3,10.5,50.9,0.7,1.9,39.1,1.5,2.2,69.5,1.4,5.6,7.1,1.8,1.6,0.4,2.8,2.7,32.1,9,0,2.9
105,Bobby Portis,CHI,23,12,2,10,22.9,12.9,4.9,11.2,44,1.1,2.9,37.1,2,2.8,70.6,1.7,5.6,7.3,1,1.5,0.5,0.6,2.2,24.9,2,0,-6.7
106,Paul Millsap,DEN,33,33,23,10,26.2,12.9,4.7,9.8,47.7,0.7,2.1,34.8,2.8,4,70.2,2.2,4.7,6.9,2,1.4,1.3,1,2.5,29.6,6,0,4.8
107,Jonas Valanciunas,TOR,26,30,23,7,18.8,12.8,5,8.6,57.5,0.3,1,30,2.6,3.1,81.9,1.8,5.4,7.2,1,1.3,0.4,0.8,2.7,25.2,5,0,2.3
107,Ricky Rubio,UTA,28,40,19,21,29.2,12.8,4.5,11.3,40,1.4,4.2,33.7,2.4,2.8,84.7,0.4,3.2,3.6,6.2,3.1,1.3,0.2,2.7,27.9,5,0,1.8
109,E'Twaun Moore,NOP,29,38,16,22,30,12.8,5.2,10.9,48.2,1.4,3.4,41.5,0.9,1.2,73.9,0.8,1.7,2.4,2.2,1.2,0.8,0.2,2.4,20.8,0,0,2
110,Dwight Howard,WAS,33,9,4,5,25.5,12.8,4.8,7.7,62.3,0,0,0,3.2,5.3,60.4,2.7,6.6,9.2,0.4,1.8,0.8,0.4,3.8,26.4,3,0,-5.6
111,Hassan Whiteside,MIA,29,35,17,18,26,12.7,5.4,10.4,51.8,0.1,0.4,13.3,1.8,4,44.7,3.8,8.7,12.5,0.8,1.6,0.6,2.5,2.9,36.5,20,0,0.5
111,Rodney Hood,CLE,26,35,7,28,27.7,12.7,4.6,10.2,44.7,1.3,3.3,38.5,2.2,2.5,89.7,0.3,2.1,2.5,2,0.9,0.9,0.1,2.3,20.6,0,0,-6.9
113,Jerami Grant,OKC,24,42,26,16,31.5,12.6,4.8,9.1,52.3,1.1,3,35.4,2,2.8,69.5,1,3.9,5,0.9,0.9,0.8,1.3,2.6,25.3,2,0,5.6
114,Dennis Smith Jr.,DAL,21,28,13,15,27.7,12.6,4.7,10.6,44.3,1.4,3.7,37.5,1.8,2.6,68.1,0.5,2.1,2.6,3.9,3.1,1.4,0.4,2.6,23.6,0,0,-2.7
115,Thaddeus Young,IND,30,42,28,14,30.3,12.5,5.5,10.3,53,0.4,1.4,29.3,1.1,2,57.8,2.2,3.7,5.9,1.7,1.2,1.6,0.5,2.4,27.2,4,0,4
116,Bryn Forbes,SAS,25,44,25,19,28.3,12.4,4.7,10.1,46.2,2.2,5.1,42.7,0.9,1.1,87.2,0.2,2.5,2.7,2.3,1.2,0.6,0,2.2,19.9,1,0,-0.3
117,Marvin Bagley III,SAC,19,29,16,13,22.9,12.4,4.7,8.9,52.7,0.3,1,33.3,2.7,4,67,2.3,3.9,6.2,0.9,1.6,0.5,1,1.9,24.1,4,0,-1.9
